Date,BTC-USD,ETH-USD,SPY
2022-07-24,22609.1640625,1599.4766845703125,
2022-07-25,21361.701171875,1445.3834228515625,378.0749816894531
2022-07-26,21239.75390625,1441.8067626953125,373.6018981933594
2022-07-27,22930.548828125,1636.232666015625,383.3030700683594
2022-07-28,23843.88671875,1725.4681396484375,388.1106262207031
2022-07-29,23804.6328125,1727.406982421875,393.7687683105469
2022-07-30,23656.20703125,1695.969482421875,
2022-07-31,23336.896484375,1681.517333984375,
2022-08-01,23314.19921875,1635.19580078125,392.60272216796875
2022-08-02,22978.1171875,1632.9454345703125,390.01263427734375
2022-08-03,22846.5078125,1618.87451171875,396.1199951171875
2022-08-04,22630.95703125,1608.205810546875,395.85235595703125
2022-08-05,23289.314453125,1732.254638671875,395.1833190917969
2022-08-06,22961.279296875,1691.6580810546875,
2022-08-07,23175.890625,1699.350830078125,
2022-08-08,23809.486328125,1775.51611328125,394.7245178222656
2022-08-09,23164.318359375,1703.0250244140625,393.1571044921875
2022-08-10,23947.642578125,1851.74267578125,401.41497802734375
2022-08-11,23957.529296875,1881.22412109375,401.41497802734375
2022-08-12,24402.818359375,1957.2464599609375,408.21051025390625
2022-08-13,24424.068359375,1981.3365478515625,
2022-08-14,24319.333984375,1936.802001953125,
2022-08-15,24136.97265625,1904.2281494140625,409.89263916015625
2022-08-16,23883.291015625,1878.139404296875,410.695556640625
2022-08-17,23335.998046875,1832.9996337890625,407.7804260253906
2022-08-18,23212.73828125,1847.0078125,408.9655456542969
2022-08-19,20877.552734375,1612.9873046875,403.4698791503906
2022-08-20,21166.060546875,1577.0037841796875,
2022-08-21,21534.12109375,1619.3189697265625,
2022-08-22,21398.908203125,1622.505859375,395.0686340332031
2022-08-23,21528.087890625,1662.7698974609375,394.1128845214844
2022-08-24,21395.01953125,1657.0592041015625,395.37451171875
2022-08-25,21600.904296875,1696.45703125,400.95623779296875
2022-08-26,20260.01953125,1507.7828369140625,387.38421630859375
2022-08-27,20041.73828125,1491.39501953125,
2022-08-28,19616.814453125,1430.54736328125,
2022-08-29,20297.994140625,1553.037353515625,384.8228454589844
2022-08-30,19796.80859375,1523.8388671875,380.5982360839844
2022-08-31,20049.763671875,1553.6849365234375,377.7022705078125
2022-09-01,20127.140625,1586.1767578125,378.8874206542969
2022-09-02,19969.771484375,1577.220458984375,374.8922424316406
2022-09-03,19832.087890625,1556.8726806640625,
2022-09-04,19986.712890625,1577.6416015625,
2022-09-05,19812.37109375,1617.1832275390625,
2022-09-06,18837.66796875,1561.74853515625,373.477783203125
2022-09-07,19290.32421875,1629.9063720703125,380.187255859375
2022-09-08,19329.833984375,1635.34765625,382.6722412109375
2022-09-09,21381.15234375,1719.08544921875,388.6171875
2022-09-10,21680.5390625,1776.2037353515625,
2022-09-11,21769.255859375,1761.800048828125,
2022-09-12,22370.44921875,1713.7652587890625,392.7939453125
2022-09-13,20296.70703125,1580.7879638671875,375.71429443359375
2022-09-14,20241.08984375,1634.7550048828125,377.1479187011719
2022-09-15,19701.2109375,1471.6934814453125,372.8659973144531
2022-09-16,19772.583984375,1432.44775390625,370.021484375
2022-09-17,20127.576171875,1469.74169921875,
2022-09-18,19419.505859375,1335.3291015625,
2022-09-19,19544.12890625,1377.5413818359375,372.8909912109375
2022-09-20,18890.7890625,1324.38818359375,368.6106872558594
2022-09-21,18547.400390625,1252.6077880859375,362.1807556152344
2022-09-22,19413.55078125,1327.68017578125,359.13848876953125
2022-09-23,19297.638671875,1328.259521484375,353.1212158203125
2022-09-24,18937.01171875,1317.9932861328125,
2022-09-25,18802.09765625,1294.216796875,
2022-09-26,19222.671875,1335.3201904296875,349.6278381347656
2022-09-27,19110.546875,1330.127685546875,348.7353515625
2022-09-28,19426.720703125,1337.410888671875,355.5972595214844
2022-09-29,19573.05078125,1335.65234375,348.169189453125
2022-09-30,19431.7890625,1327.9786376953125,342.78521728515625
2022-10-01,19312.095703125,1311.6444091796875,
2022-10-02,19044.107421875,1276.093505859375,
2022-10-03,19623.580078125,1323.439208984375,351.8351745605469
2022-10-04,20336.84375,1362.1265869140625,362.7374267578125
2022-10-05,20160.716796875,1352.837158203125,361.89288330078125
2022-10-06,19955.443359375,1351.70947265625,358.1596984863281
2022-10-07,19546.849609375,1332.5169677734375,348.169189453125
2022-10-08,19416.568359375,1315.50048828125,
2022-10-09,19446.42578125,1322.604248046875,
2022-10-10,19141.484375,1291.337646484375,345.5107421875
2022-10-11,19051.41796875,1279.57568359375,343.3226318359375
2022-10-12,19157.4453125,1294.9063720703125,342.1902160644531
2022-10-13,19382.904296875,1288.1239013671875,351.2209777832031
2022-10-14,19185.65625,1297.422119140625,343.2171325683594
2022-10-15,19067.634765625,1274.8717041015625,
2022-10-16,19268.09375,1306.296630859375,
2022-10-17,19550.7578125,1331.713623046875,352.0367431640625
2022-10-18,19334.416015625,1310.447021484375,356.1730651855469
2022-10-19,19139.53515625,1285.7442626953125,353.6490173339844
2022-10-20,19053.740234375,1283.200927734375,350.68353271484375
2022-10-21,19172.46875,1299.9464111328125,359.20574951171875
2022-10-22,19208.189453125,1314.2991943359375,
2022-10-23,19567.0078125,1363.447021484375,
2022-10-24,19345.572265625,1344.99853515625,363.6011047363281
2022-10-25,20095.857421875,1461.6654052734375,369.4073181152344
2022-10-26,20770.44140625,1566.566650390625,366.6241455078125
2022-10-27,20285.8359375,1514.3748779296875,364.6663818359375
2022-10-28,20595.3515625,1555.4779052734375,373.342041015625
2022-10-29,20818.4765625,1619.698486328125,
2022-10-30,20635.603515625,1590.7833251953125,
2022-10-31,20495.7734375,1572.7144775390625,370.64532470703125
2022-11-01,20485.2734375,1579.70458984375,369.0234069824219
2022-11-02,20159.50390625,1519.7117919921875,359.76226806640625
2022-11-03,20209.98828125,1531.541748046875,356.0578918457031
2022-11-04,21147.23046875,1645.0933837890625,361.1826477050781
2022-11-05,21282.69140625,1627.968017578125,
2022-11-06,20926.486328125,1572.2347412109375,
2022-11-07,20602.81640625,1568.59130859375,364.6375732421875
2022-11-08,18541.271484375,1332.8355712890625,366.60498046875
2022-11-09,15880.7802734375,1100.1697998046875,359.0521240234375
2022-11-10,17586.771484375,1299.464599609375,378.7835388183594
2022-11-11,17034.29296875,1287.2210693359375,382.4495849609375
2022-11-12,16799.185546875,1255.268310546875,
2022-11-13,16353.365234375,1221.8192138671875,
2022-11-14,16618.19921875,1241.604248046875,379.19622802734375
2022-11-15,16884.61328125,1251.7362060546875,382.4303894042969
2022-11-16,16669.439453125,1215.6025390625,379.5129089355469
2022-11-17,16687.517578125,1200.80859375,378.3515930175781
2022-11-18,16697.77734375,1212.30029296875,380.0695495605469
2022-11-19,16711.546875,1218.4267578125,
2022-11-20,16291.83203125,1142.4666748046875,
2022-11-21,15787.2841796875,1108.35302734375,378.6875305175781
2022-11-22,16189.76953125,1135.1734619140625,383.7835388183594
2022-11-23,16610.70703125,1183.1995849609375,386.2020263671875
2022-11-24,16604.46484375,1203.983154296875,
2022-11-25,16521.841796875,1198.9259033203125,386.1156311035156
2022-11-26,16464.28125,1205.89794921875,
2022-11-27,16444.626953125,1195.126953125,
2022-11-28,16217.322265625,1170.086181640625,379.954345703125
